District,Budget_Allocation,Budget_Utilization,Projects_Count,Implementation_Percentage,Population_Covered,Grievances_Resolved
Tawang,45.75,32.03,8,70,45000,15
West Kameng,58.25,34.95,12,60,58500,22
East Kameng,32.50,19.50,7,60,35000,18
Papum Pare,78.50,62.80,14,80,95000,35
Kurung Kumey,28.75,14.38,6,50,30000,12
Kra Daadi,25.30,12.65,5,50,24000,10
Lower Subansiri,42.60,29.82,9,70,48000,20
Upper Subansiri,35.80,25.06,8,70,40000,16
West Siang,48.25,38.60,10,80,55000,25
East Siang,65.30,52.24,13,80,75000,30
Siang,30.20,18.12,7,60,32000,14
Upper Siang,28.50,14.25,6,50,25000,11
Lower Siang,32.80,22.96,8,70,36000,15
Lower Dibang Valley,38.45,26.92,9,70,42000,18
Dibang Valley,22.60,11.30,5,50,15000,8
Anjaw,25.75,12.88,6,50,18000,9
Lohit,40.30,28.21,9,70,45000,20
Namsai,45.80,36.64,10,80,50000,22
Changlang,52.40,36.68,11,70,60000,25
Tirap,38.60,19.30,8,50,42000,16
Longding,30.25,15.13,6,50,28000,12
Lower Dibang Valley,42.30,29.61,9,70,46000,19
Shi Yomi,18.50,9.25,4,50,12000,6
Pakke Kessang,22.75,11.38,5,50,20000,8
Kamle,20.40,14.28,6,70,18000,9
Lepa Rada,25.30,17.71,7,70,22000,10 