Month,Budget_Allocation,Budget_Utilization,Grievances_Received,Grievances_Resolved,ProjectsCompleted,NewProjectsStarted,TrainingSessions,OnlineServiceHits
Apr-2023,25.50,12.75,15,15,2,4,5,2500
May-2023,35.75,20.25,18,18,3,2,7,3100
Jun-2023,42.30,28.50,22,22,1,3,6,3600
Jul-2023,38.45,30.76,25,24,4,1,8,4200
Aug-2023,45.60,35.80,20,20,3,5,9,4800
Sep-2023,52.75,42.20,28,27,2,3,10,5500
Oct-2023,48.90,37.50,32,31,3,2,12,6200
Nov-2023,56.40,49.75,24,24,5,4,8,7000
Dec-2023,62.30,53.50,16,16,4,1,6,7800
Jan-2024,58.75,48.60,22,22,3,6,11,8300
Feb-2024,70.20,62.50,30,30,6,2,14,9100
Mar-2024,80.55,72.50,28,28,4,3,15,9800
Total,617.45,494.61,280,277,40,36,111,71900 